selected,abbrevref_id,isolabel_ext,abbrev,insert_date,default_abbrev
t,5,UY,uy,2023-11-30,f
t,5,UY-AR,UY-16603,2023-11-30,f
t,5,UY-AR,uy;ar,2023-11-30,f
t,5,UY-AR,uy;artigas,2023-11-30,f
t,5,UY-AR-Artigas,UY-26,2023-11-30,f
t,3,UY-AR-Artigas,UY-AR-ART,2022-10-07,f
t,5,UY-AR-Artigas,uy;ar;art,2023-11-30,f
t,5,UY-AR-Artigas,uy;ar;artigas,2023-11-30,f
t,5,UY-AR-Artigas,uy;artigas;artigas,2023-11-30,f
t,5,UY-AR-BaltasarBrum,UY-4,2023-11-30,f
t,3,UY-AR-BaltasarBrum,UY-AR-BBM,2022-10-07,f
t,5,UY-AR-BaltasarBrum,uy;ar;baltasar.brum,2023-11-30,f
t,5,UY-AR-BaltasarBrum,uy;ar;bbm,2023-11-30,f
t,5,UY-AR-BaltasarBrum,uy;artigas;baltasar.brum,2023-11-30,f
t,5,UY-AR-BellaUnion,UY-725,2023-11-30,f
t,3,UY-AR-BellaUnion,UY-AR-BUN,2022-10-07,f
t,5,UY-AR-BellaUnion,uy;ar;bella.union,2023-11-30,f
t,5,UY-AR-BellaUnion,uy;ar;bun,2023-11-30,f
t,5,UY-AR-BellaUnion,uy;artigas;bella.union,2023-11-30,f
t,5,UY-AR-BernabeRivera,UY-5,2023-11-30,f
t,3,UY-AR-BernabeRivera,UY-AR-BRA,2022-10-07,f
t,5,UY-AR-BernabeRivera,uy;ar;bernabe.rivera,2023-11-30,f
t,5,UY-AR-BernabeRivera,uy;ar;bra,2023-11-30,f
t,5,UY-AR-BernabeRivera,uy;artigas;bernabe.rivera,2023-11-30,f
t,5,UY-AR-Cainsa,UY-16,2023-11-30,f
t,3,UY-AR-Cainsa,UY-AR-CSA,2022-10-07,f
t,5,UY-AR-Cainsa,uy;ar;cainsa,2023-11-30,f
t,5,UY-AR-Cainsa,uy;ar;csa,2023-11-30,f
t,5,UY-AR-Cainsa,uy;artigas;cainsa,2023-11-30,f
t,5,UY-AR-Calnu,UY-23,2023-11-30,f
t,3,UY-AR-Calnu,UY-AR-CNU,2022-10-07,f
t,5,UY-AR-Calnu,uy;ar;calnu,2023-11-30,f
t,5,UY-AR-Calnu,uy;ar;cnu,2023-11-30,f
t,5,UY-AR-Calnu,uy;artigas;calnu,2023-11-30,f
t,5,UY-AR-ColoniaPalma,UY-22,2023-11-30,f
t,3,UY-AR-ColoniaPalma,UY-AR-CPA,2022-10-07,f
t,5,UY-AR-ColoniaPalma,uy;ar;colonia.palma,2023-11-30,f
t,5,UY-AR-ColoniaPalma,uy;ar;cpa,2023-11-30,f
t,5,UY-AR-ColoniaPalma,uy;artigas;colonia.palma,2023-11-30,f
t,5,UY-AR-Coronado,UY-9,2023-11-30,f
t,3,UY-AR-Coronado,UY-AR-COB,2022-10-07,f
t,5,UY-AR-Coronado,uy;ar;cob,2023-11-30,f
t,5,UY-AR-Coronado,uy;ar;coronado,2023-11-30,f
t,5,UY-AR-Coronado,uy;artigas;coronado,2023-11-30,f
t,5,UY-AR-Cuareim,UY-10,2023-11-30,f
t,3,UY-AR-Cuareim,UY-AR-CUA,2022-10-07,f
t,5,UY-AR-Cuareim,uy;ar;cua,2023-11-30,f
t,5,UY-AR-Cuareim,uy;ar;cuareim,2023-11-30,f
t,5,UY-AR-Cuareim,uy;artigas;cuareim,2023-11-30,f
t,5,UY-AR-Cuaro,UY-11,2023-11-30,f
