isolabel_ext,synonym
UY,uy
UY-AR,uy;ar
UY-AR,uy-16603
UY-AR,uy;artigas
UY-AR-Artigas,uy-26
UY-AR-Artigas,uy;ar;art
UY-AR-Artigas,uy;artigas;artigas
UY-AR-Artigas,co-a-art
UY-AR-Artigas,uy;ar;artigas
UY-AR-BaltasarBrum,uy;ar;bbm
UY-AR-BaltasarBrum,uy;ar;baltasar.brum
UY-AR-BaltasarBrum,co-a-bbm
UY-AR-BaltasarBrum,uy-4
UY-AR-BaltasarBrum,uy;artigas;baltasar.brum
UY-AR-BellaUnion,uy;ar;bella.union
UY-AR-BellaUnion,uy;ar;bun
UY-AR-BellaUnion,co-a-bun
UY-AR-BellaUnion,uy-725
UY-AR-BellaUnion,uy;artigas;bella.union
UY-AR-BernabeRivera,co-a-bra
UY-AR-BernabeRivera,uy;ar;bra
UY-AR-BernabeRivera,uy-5
UY-AR-BernabeRivera,uy;ar;bernabe.rivera
UY-AR-BernabeRivera,uy;artigas;bernabe.rivera
UY-AR-Cainsa,uy;ar;csa
UY-AR-Cainsa,co-a-csa
UY-AR-Cainsa,uy;artigas;cainsa
UY-AR-Cainsa,uy;ar;cainsa
UY-AR-Cainsa,uy-16
UY-AR-Calnu,uy;ar;cnu
UY-AR-Calnu,co-a-cnu
UY-AR-Calnu,uy;ar;calnu
UY-AR-Calnu,uy-23
UY-AR-Calnu,uy;artigas;calnu
UY-AR-ColoniaPalma,uy;artigas;colonia.palma
UY-AR-ColoniaPalma,uy-22
UY-AR-ColoniaPalma,uy;ar;cpa
UY-AR-ColoniaPalma,uy;ar;colonia.palma
UY-AR-Coronado,uy-9
UY-AR-Coronado,uy;artigas;coronado
UY-AR-Coronado,uy;ar;coronado
UY-AR-Coronado,uy;ar;cob
UY-AR-Cuareim,uy;ar;cuareim
UY-AR-Cuareim,co-a-cua
UY-AR-Cuareim,uy;artigas;cuareim
UY-AR-Cuareim,uy;ar;cua
UY-AR-Cuareim,uy-10
UY-AR-Cuaro,uy;ar;cro
UY-AR-Cuaro,uy-11
UY-AR-Cuaro,uy;ar;cuaro
UY-AR-Cuaro,co-a-cro
UY-AR-Cuaro,uy;artigas;cuaro
UY-AR-DiegoLamas,uy;ar;diego.lamas
UY-AR-DiegoLamas,co-a-dls
UY-AR-DiegoLamas,uy;ar;dls
UY-AR-DiegoLamas,uy;artigas;diego.lamas
UY-AR-DiegoLamas,uy-18
UY-AR-Franquia,uy;ar;franquia
UY-AR-Franquia,uy;artigas;franquia
UY-AR-Franquia,co-a-fri
UY-AR-Franquia,uy;ar;fri
UY-AR-Franquia,uy-7
UY-AR-JavierViana,uy;ar;jva
UY-AR-JavierViana,uy-638
UY-AR-JavierViana,co-a-jva
UY-AR-JavierViana,uy;artigas;javier.viana
UY-AR-JavierViana,uy;ar;javier.viana
UY-AR-LaBolsa,uy-12
UY-AR-LaBolsa,uy;artigas;la.bolsa
UY-AR-LaBolsa,uy;ar;la.bolsa
UY-AR-LaBolsa,uy;ar;lbo
UY-AR-LaBolsa,co-a-lbo
UY-AR-MonesQuintela,uy-15
UY-AR-MonesQuintela,uy;artigas;mones.quintela
UY-AR-MonesQuintela,co-a-mqa
UY-AR-MonesQuintela,uy;ar;mones.quintela
UY-AR-MonesQuintela,uy;ar;mqa
UY-AR-PasoCampamento,uy-17
UY-AR-PasoCampamento,uy;artigas;paso.campamento
UY-AR-PasoCampamento,co-a-pct
UY-AR-PasoCampamento,uy;ar;pct
UY-AR-PasoCampamento,uy;ar;paso.campamento
UY-AR-PasoFarias,uy;ar;pfs
UY-AR-PasoFarias,co-a-pfs
UY-AR-PasoFarias,uy;artigas;paso.farias
UY-AR-PasoFarias,uy;ar;paso.farias
UY-AR-PasoFarias,uy-19
UY-AR-Pintadito,uy;ar;pto
UY-AR-Pintadito,uy;ar;pintadito
UY-AR-Pintadito,uy;artigas;pintadito
UY-AR-Pintadito,uy-13
UY-AR-Pintadito,co-a-pto
UY-AR-PintadoGrande,uy;ar;pge
UY-AR-PintadoGrande,uy;artigas;pintado.grande
UY-AR-PintadoGrande,uy;ar;pintado.grande
UY-AR-PintadoGrande,co-a-pge
UY-AR-PintadoGrande,uy-25
UY-AR-PortHierroYCampodonico,uy-14
UY-AR-PortHierroYCampodonico,uy;ar;phc
UY-AR-PortHierroYCampodonico,uy;ar;port.hierro.y.campodonico
UY-AR-PortHierroYCampodonico,co-a-phc
UY-AR-PortHierroYCampodonico,uy;artigas;port.hierro.y.campodonico
UY-AR-RinconPacheco,uy;artigas;rincon.pacheco
UY-AR-RinconPacheco,co-a-rpo
UY-AR-RinconPacheco,uy;ar;rpo
UY-AR-RinconPacheco,uy-20
UY-AR-RinconPacheco,uy;ar;rincon.pacheco
UY-AR-SanGregorio,uy;ar;san.gregorio
UY-AR-SanGregorio,uy-24
UY-AR-SanGregorio,uy;artigas;san.gregorio
UY-AR-SanGregorio,co-a-sgr
UY-AR-SanGregorio,uy;ar;sgr
UY-AR-Sequeira,uy;ar;sequeira
UY-AR-Sequeira,uy-8
UY-AR-Sequeira,uy;ar;seq
UY-AR-Sequeira,uy;artigas;sequeira
UY-AR-Sequeira,co-a-seq
UY-AR-TomasGomensoro,uy;ar;tgo
UY-AR-TomasGomensoro,uy;ar;tomas.gomensoro
UY-AR-TomasGomensoro,uy-3
